Transaction_ID,Card_Type,Merchant_Category,Transaction_Amount,Transaction_DateTime,City,Country,Cardholder_Age,Cardholder_Gender,Cardholder_Monthly_Income,Cardholder_Average_Spend,Credit_Limit,Device_Type,Day_of_Week,Is_Fraudulent
W963UK57,Mastercard,Utility bill,2721.40,01-01-2020 09:43,Tokyo,Japan,23,Female,9463,3636.965,10000,Unknown,Wednesday,No
V606KV56,UnionPay,Retail,8395.60,03-01-2020 16:26,Tokyo,Japan,49,Male,14812,8917.912,15000,Desktop,Friday,No
R531NU70,Visa,Transportation,19328.00,04-01-2020 03:40,London,UK,,Male,21092,10666.86,20000,Desktop,Saturday,No
T783GF79,American Express,Online Shopping,16738.10,04-01-2020 14:56,Tokyo,Japan,52,Female,14807,17315.552,20000,Desktop,Saturday,Yes
K256ZN73,American Express,Retail,8117.00,04-01-2020 17:26,Chicago,USA,37,Female,17447,5271.309,20000,Mobile,Saturday,No
I812SG19,American Express,Entertainment,13191.80,04-01-2020 19:55,Tokyo,Japan,80,Male,16667,8039.344,15000,Point-of-Sale Terminal,Saturday,No
Y182UO40,Visa,Retail,13903.60,05-01-2020 16:33,Tokyo,Japan,33,Male,17199,8421.574,15000,Desktop,Sunday,Yes
R809YU99,American Express,Online Shopping,4996.70,05-01-2020 19:37,Chicago,USA,46,Female,5625,4567.198,5000,Point-of-Sale Terminal,Sunday,No
Q473IV29,Mastercard,Entertainment,4452.80,05-01-2020 19:55,Sydney,Australia,44,Male,9385,2965.372,10000,Unknown,Sunday,No
V841LV15,Mastercard,Retail,2958.70,05-01-2020 23:30,London,UK,77,Female,5545,2253.016,5000,Point-of-Sale Terminal,Sunday,No
D105RT88,American Express,Education,6368.70,07-01-2020 09:57,Sydney,Australia,60,Female,16931,5900.549,15000,Contactless Payment Device,Tuesday,No
Z447QC37,Mastercard,Entertainment,18461.20,07-01-2020 17:52,Hong Kong,China,79,Male,28015,11479.535,20000,Desktop,Tuesday,No
